component	drawable
ComponentInfo{com.android.contacts/com.android.contacts.activities.CallLogActivity}	phone
ComponentInfo{com.android.contacts/com.android.contacts.CallLogActivity}	phone
ComponentInfo{com.android.contacts/com.android.contacts.CallDialtactsActivity}	phone
ComponentInfo{com.android.contacts/com.android.contacts.RecentCallsLauncherActivity}	phone
ComponentInfo{com.android.contacts/com.oppo.contacts.OppoDialtactsActivity}	phone
ComponentInfo{com.android.contacts/com.sec.android.app.contacts.DialerEntryActivity}	phone
ComponentInfo{com.android.contacts/com.android.contacts.DialtactsActivity}	phone
ComponentInfo{com.android.contacts/com.android.contacts.activities.PCUDialtactsActivity}	phone
ComponentInfo{com.android.dialer/com.android.dialer.DialtactsActivity}	phone
ComponentInfo{com.android.dialer/com.google.android.dialer.extensions.GoogleDialtactsActivity}	phone
ComponentInfo{com.android.dialer/com.android.dialer.calllog.CallLogActivity}	phone
ComponentInfo{com.android.dialer/com.android.dialer.activities.DialtactsActivity}	phone
ComponentInfo{com.yulong.android.contacts/com.yulong.android.contacts.dial.DialActivity}	phone
ComponentInfo{com.zui.contacts/com.android.newcontact.vl.activity.DialpadShutcut}	phone
ComponentInfo{cn.nubia.contacts/cn.nubia.contacts.DialerActivity}	phone
ComponentInfo{com.lenovo.ideafriend/com.lenovo.ideafriend.alias.DialtactsActivity}	phone
ComponentInfo{com.asus.contacts/com.android.contacts.activities.DialtactsActivity}	phone
ComponentInfo{com.samsung.android.contacts/com.android.dialer.DialtactsActivity}	phone
ComponentInfo{com.htc.contacts/com.htc.contacts.DialerTabActivity}	phone
ComponentInfo{com.sonymobile.android.dialer/com.android.dialer.DialtactsActivity}	phone
ComponentInfo{com.sonymobile.android.dialer/com.android.dialer.main.impl.MainActivity}	phone
ComponentInfo{com.sonymobile.android.dialer/com.android.dialer.app.DialtactsActivity}	phone
ComponentInfo{com.android.dialer/com.android.dialer.app.DialtactsActivity}	phone
ComponentInfo{com.android.contacts/com.android.contacts.DialtactsActivityAlias}	phone
ComponentInfo{com.android.dialer/com.oneplus.contacts.activities.OPDialtactsActivity}	phone
ComponentInfo{com.oneplus.dialer/com.android.dialer.oneplus.activity.OPDialtactsActivity}	phone
ComponentInfo{com.samsung.android.dialer/com.samsung.android.dialer.DialtactsActivity}	phone
ComponentInfo{com.android.dialer/com.android.dialer.main.impl.MainActivity}	phone
:CAMERA	camera
ComponentInfo{com.android.camera/com.android.camera.Camera}	camera
ComponentInfo{com.android.camera/com.android.camera.CameraActivity}	camera
ComponentInfo{com.android.camera/com.android.camera.CameraLauncher}	camera
ComponentInfo{com.android.camera2/com.android.camera.CameraLauncher}	camera
ComponentInfo{com.android.gallery3d/com.android.camera.CameraLauncher}	camera
ComponentInfo{com.htc.camera/com.htc.camera.CameraEntry}	camera
ComponentInfo{com.motorola.camera/com.motorola.camera.Camera}	camera
ComponentInfo{com.meizu.media.camera/com.meizu.media.camera.CameraLauncher}	camera
ComponentInfo{com.sonyericsson.android.camera/com.sonyericsson.android.camera.CameraActivity}	camera
ComponentInfo{org.cyanogenmod.snap/com.android.camera.CameraLauncher}	camera
ComponentInfo{com.google.android.GoogleCamera/com.android.camera.CameraLauncher}	camera
ComponentInfo{com.sec.android.app.camera/com.sec.android.app.camera.Camera}	camera
ComponentInfo{com.oneplus.camera/com.oneplus.camera.OPCameraActivity}	camera
ComponentInfo{com.oppo.camera/com.oppo.camera.Camera}	camera
ComponentInfo{jp.co.sharp.android.camera/jp.co.sharp.android.camera.stillimagecamera.Camera}	camera
ComponentInfo{org.lineageos.snap/com.android.camera.CameraLauncher}	camera
ComponentInfo{com.oplus.camera/com.oplus.camera.Camera}	camera
ComponentInfo{com.huawei.camera/com.huawei.camera}	camera
ComponentInfo{com.motorola.camera3/com.motorola.camera.Camera}	camera
ComponentInfo{com.motorola.camera3/com.motorola.camera.MirrorCameraActivity}	camera
ComponentInfo{com.nothing.camera/com.nothing.camera.activity.CameraActivity}	camera
ComponentInfo{org.mokee.snap/com.android.camera.CameraLauncher}	camera
ComponentInfo{com.lge.camera/com.lge.camera.CameraAppLauncher}	camera
ComponentInfo{com.zte.camera/com.zte.camera.CameraActivity}	camera
ComponentInfo{org.lineageos.aperture/org.lineageos.aperture.CameraLauncher}	camera
ComponentInfo{jp.co.sony.mc.cameraapq/jp.co.sony.mc.camera.CameraActivity}	camera
ComponentInfo{org.derpfest.flash/org.lineageos.aperture.CameraLauncher}	camera
:CALCULATOR	calculator
ComponentInfo{com.miui.calculator/com.miui.calculator.cal.CalculatorActivity}	calculator
ComponentInfo{com.google.android.calculator/com.android.calculator2.Calculator}	calculator
ComponentInfo{com.android.calculator2/com.android.calculator2.CalculatorActivity}	calculator
ComponentInfo{com.android.calculator2/com.android.calculator2.Calculator-Dark}	calculator
ComponentInfo{com.android.calculator2/com.android.calculator2.Calculator}	calculator
ComponentInfo{com.android2.calculator3/com.android2.calculator3.Calculator}	calculator
ComponentInfo{com.android2.calculator3/com.xlythe.calculator.material.Calculator}	calculator
ComponentInfo{com.htc.calculator/com.htc.calculator.Calculator}	calculator
ComponentInfo{com.meizu.flyme.calculator/com.meizu.flyme.calculator.Calculator}	calculator
ComponentInfo{com.sec.android.app.popupcalculator/com.sec.android.app.popupcalculator.Calculator}	calculator
ComponentInfo{com.oneplus.calculator/com.oneplus.calculator.Calculator}	calculator
ComponentInfo{com.oneplus.calculator/com.android.calculator2.Calculator}	calculator
ComponentInfo{com.coloros.calculator/com.android.calculator2.Calculator}	calculator
ComponentInfo{com.smartisanos.calculator/com.smartisanos.calculator.Calculator}	calculator
ComponentInfo{com.huawei.calculator/com.huawei.calculator.Calculator}	calculator
ComponentInfo{com.android.bbkcalculator/com.android.bbkcalculator.Calculator}	calculator
ComponentInfo{com.sonymobile.exactcalculator/com.sonymobile.exactcalculator.Calculator}	calculator
ComponentInfo{com.motorola.cn.calculator/com.motorola.cn.calculator.Calculator}	calculator
ComponentInfo{com.meizu.flyme.calculator/com.meizu.flyme.calculator.CalculatorActivity}	calculator
:EMAIL	email
ComponentInfo{com.android.email/com.android.email.activity.Welcome}	email
ComponentInfo{com.android.email/com.android.email.activity.EmailActivity}	email
ComponentInfo{com.google.android.email/com.android.email.activity.Welcome}	email
ComponentInfo{com.htc.android.mail/com.htc.android.mail.MailListTab}	email
ComponentInfo{com.htc.android.mail/com.htc.android.mail.MultipleActivitiesMain}	email
ComponentInfo{com.motorola.blur.email/com.motorola.blur.email.mailbox.ViewFolderActivity}	email
ComponentInfo{com.motorola.blur.email/com.motorola.blur.email.mailbox.MailListActivity}	email
ComponentInfo{com.motorola.motoemail/com.android.email.activity.Welcome}	email
ComponentInfo{com.samsung.android.email.provider/com.samsung.android.email.ui.activity.MessageListXL}	email
ComponentInfo{com.sonymobile.email/com.sonymobile.email.activity.Welcome}	email
ComponentInfo{com.netease.mobimail.oneplus/com.netease.mobimail.activity.LaunchActivity}	email
ComponentInfo{com.android.email/com.kingsoft.email.activity.setup.GuideActivity}	email
ComponentInfo{com.android.email/com.android.email.login.activity.WelcomeActivity}	email
ComponentInfo{com.android.email/com.wps.multiwindow.main.HomeActivity}	email
ComponentInfo{com.vivo.email/com.vivo.email.activity.Welcome}	email
ComponentInfo{com.fm.email.sony/com.android.email.activity.EmailActivity}	email
:CLOCK	clock
ComponentInfo{com.android.deskclock/com.android.deskclock.DeskClockTabActivity}	clock
ComponentInfo{com.motorola.blur/com.motorola.blur.alarmclock.AlarmClock}	clock
ComponentInfo{com.google.android.deskclock/com.android.deskclock.DeskClock}	clock
ComponentInfo{com.android.deskclock/com.android.deskclock.AlarmsMainActivity}	clock
ComponentInfo{com.android.deskclock/com.android.deskclock.DeskClock}	clock
ComponentInfo{com.android.deskclock/com.android.deskclock.AlarmClock}	clock
ComponentInfo{com.htc.android.worldclock/com.htc.android.worldclock.WorldClockTabControl}	clock
ComponentInfo{com.android.alarmclock/com.meizu.flyme.alarmclock.DeskClock}	clock
ComponentInfo{com.android.BBKClock/com.android.BBKClock.Timer}	clock
ComponentInfo{com.sec.android.app.clockpackage/com.sec.android.app.clockpackage.ClockPackage}	clock
ComponentInfo{com.sonyericsson.organizer/com.sonyericsson.organizer.Organizer}	clock
ComponentInfo{com.oneplus.deskclock/com.oneplus.deskclock.DeskClock}	clock
ComponentInfo{com.oneplus.deskclock/com.oplus.alarmclock.AlarmClock}	clock
ComponentInfo{com.coloros.alarmclock/com.coloros.alarmclock.AlarmClock}	clock
ComponentInfo{com.coloros.alarmclock/com.oplus.alarmclock.AlarmClock}	clock
ComponentInfo{com.smartisanos.clock/com.smartisanos.clock.activity.ClockActivity}	clock
ComponentInfo{com.lge.clock/com.lge.clock.AlarmClockActivity}	clock
ComponentInfo{zte.com.cn.alarmclock/zte.com.cn.alarmclock.activity.AlarmClockActivity}	clock
ComponentInfo{com.motorola.cn.deskclock/com.motorola.cn.deskclock.DeskClock}	clock
:BROWSER	browser
ComponentInfo{com.android.browser/com.android.browser.BrowserActivity}	browser
ComponentInfo{com.google.android.browser/com.android.browser.BrowserActivity}	browser
ComponentInfo{com.android.browser/com.google.android.apps.chrome.Main}	browser
ComponentInfo{com.android.browser/com.android.browser.PermissionCheckActivity}	browser
ComponentInfo{com.android.browser/com.android.browser.permission.PermissionCheckActivity}	browser
ComponentInfo{org.cyanogenmod.gello.browser/com.android.browser.BrowserLauncher}	browser
ComponentInfo{com.vivo.browser/com.vivo.browser.BrowserActivity}	browser
ComponentInfo{com.sec.android.app.sbrowser/com.sec.android.app.sbrowser.SBrowserMainActivity}	browser
ComponentInfo{com.android.browser/com.tencent.mtt.SplashActivity}	browser
ComponentInfo{com.heytap.browser/com.android.browser.BrowserActivity}	browser
ComponentInfo{com.android.browser/com.android.browser.launch.SplashActivity}	browser
ComponentInfo{com.huawei.browser/com.huawei.browser.Main2}	browser
ComponentInfo{com.qihoo.sonybrowser/com.android.browser.SplashActivity}	browser
ComponentInfo{com.zui.browser/com.lenovo.browser.BrowserActivity}	browser
ComponentInfo{org.lineageos.jelly/org.lineageos.jelly.MainActivity}	browser
ComponentInfo{com.android.browser/com.android.browser.BrowserLaunchActivity}	browser
ComponentInfo{jp.co.sony.mc.browser/jp.co.sony.mc.browser.MainActivity}	browser
ComponentInfo{com.ume.browser.hs/com.ume.browser.MainActivity}	browser
ComponentInfo{com.android.fileexplorer/com.android.fileexplorer.FileExplorerTabActivity}	file_manager
ComponentInfo{com.oneplus.filemanager/com.oneplus.filemanager.HomePageActivity}	file_manager
ComponentInfo{com.oneplus.filemanager/com.oplus.filemanager.main.ui.MainActivity}	file_manager
ComponentInfo{com.huawei.hidisk/com.huawei.hidisk.filemanager.FileManager}	file_manager
ComponentInfo{com.huawei.filemanager/com.huawei.hidisk.filemanager.FileManager}	file_manager
ComponentInfo{com.nbc.filemanager/com.fihtdc.filemanager.FileManager}	file_manager
ComponentInfo{com.sec.android.app.myfiles/com.sec.android.app.myfiles.external.ui.MainActivity}	file_manager
ComponentInfo{com.sec.android.app.myfiles/com.sec.android.app.myfiles.ui.ForMyFilesAppIconInHomeScreenActivity}	file_manager
ComponentInfo{com.sec.android.app.myfiles/com.sec.android.app.myfiles.ui.MainActivity}	file_manager
ComponentInfo{com.coloros.filemanager/com.coloros.filemanager.filerefactor.ui.main.MainActivity}	file_manager
ComponentInfo{com.smartisanos.filemanager/com.smartisan.filemanager.MainActivity}	file_manager
ComponentInfo{com.coloros.filemanager/com.coloros.filemanager.ad.SplashActivity}	file_manager
ComponentInfo{com.coloros.filemanager/com.coloros.filemanager.Main}	file_manager
ComponentInfo{com.coloros.filemanager/com.oplus.filemanager.main.ui.MainActivity}	file_manager
ComponentInfo{com.android.fileexplorer/com.android.fileexplorer.MainActivity}	file_manager
ComponentInfo{com.android.filemanager/com.android.filemanager.FileManagerActivity}	file_manager
ComponentInfo{com.zui.filemanager/com.zui.filemanager.MainActivity}	file_manager
ComponentInfo{zte.com.cn.filer/zte.com.cn.filer.FileMgrActivity}	file_manager
ComponentInfo{com.meizu.filemanager/com.meizu.flyme.filemanager.activity.HomeActivity}	file_manager
ComponentInfo{com.miui.video/com.miui.video.HomeActivity}	video
ComponentInfo{com.miui.video/com.miui.video.feature.main.MainTabActivity}	video
ComponentInfo{com.miui.video/com.miui.video.Launcher1}	video
ComponentInfo{com.sonyericsson.video/com.sonyericsson.video.placeholderwrapper.MainActivity}	video
ComponentInfo{com.huawei.hwvplayer.youku/com.huawei.hwvplayer.framework.MainActivity}	video
ComponentInfo{com.heytap.yoli/com.heytap.yoli.icon_org}	video
ComponentInfo{com.smartisanos.videoplayerproject/com.smartisanos.videoplayerproject.MainActivity}	video
ComponentInfo{com.samsung.android.videolist/com.samsung.android.videolist.list.activity.VideoList}	video
ComponentInfo{com.huawei.himovie/com.huawei.himovie.ui.login.SplashScreenActivity}	video
ComponentInfo{com.android.gallery3d/com.sprd.gallery3d.app.NewVideoActivity}	video
ComponentInfo{com.android.VideoPlayer/com.android.VideoPlayer.VideoPlayer}	video
ComponentInfo{com.meizu.media.video/com.meizu.media.video.VideoMainActivity}	video
:GALLERY	gallery
ComponentInfo{com.miui.gallery/com.miui.gallery.activity.HomePageActivity}	gallery
ComponentInfo{com.sec.android.gallery3d/com.sec.android.gallery3d.app.Gallery}	gallery
ComponentInfo{com.sec.android.gallery3d/com.sec.android.gallery3d.app.GalleryActivity}	gallery
ComponentInfo{com.sec.android.gallery3d/com.sec.android.gallery3d.app.GalleryOpaqueActivity}	gallery
ComponentInfo{com.android.gallery/com.android.camera.GalleryPicker}	gallery
ComponentInfo{com.google.android.gallery3d/com.android.gallery3d.app.GalleryActivity}	gallery
ComponentInfo{com.google.android.gallery3d/com.android.gallery3d.app.Gallery}	gallery
ComponentInfo{com.android.gallery3d/com.android.gallery3d.app.GalleryActivity}	gallery
ComponentInfo{com.android.gallery3d/com.android.gallery3d.app.Gallery}	gallery
ComponentInfo{com.android.gallery3d/com.huawei.gallery.app.GalleryActivity}	gallery
